Open,High,Low,Close,Volume,Ticker,Change
7630,7630,7630,7630,1300,PPH,0.05532503457814664
7430,7430,7430,7430,126,PPH,-0.026212319790301475
7830,7830,7830,7830,100,PPH,0.053835800807537026
7830,7830,7830,7830,0,PPH,0.0
7680,7680,7680,7680,19900,PPH,-0.019157088122605415
7680,7680,7680,7680,0,PPH,0.0
7680,7680,7680,7680,0,PPH,0.0
7680,7680,7680,7680,12455,PPH,0.0
7680,7680,7680,7680,0,PPH,0.0
7680,7680,7680,7680,0,PPH,0.0
7680,7680,7680,7680,0,PPH,0.0
7680,7680,7680,7680,232161,PPH,0.0
7680,7680,7680,7680,53600,PPH,0.0
7680,7680,7680,7680,1000,PPH,0.0
7680,7680,7680,7680,100,PPH,0.0
7750,7750,7750,7750,1500,PPH,0.00911458333333326
7750,7750,7750,7750,0,PPH,0.0
7750,7750,7750,7750,0,PPH,0.0
7750,7750,7750,7750,0,PPH,0.0
7750,7750,7750,7750,0,PPH,0.0
7750,7750,7750,7750,0,PPH,0.0
7750,7750,7750,7750,0,PPH,0.0
7750,7750,7750,7750,0,PPH,0.0
7750,7750,7750,7750,0,PPH,0.0
7780,7780,7780,7780,1000,PPH,0.003870967741935516
7940,7940,7940,7940,10000,PPH,0.020565552699228773
7940,7940,7940,7940,0,PPH,0.0
7890,7890,7890,7890,100,PPH,-0.006297229219143552
7890,7890,7890,7890,0,PPH,0.0
7750,7750,7750,7750,700,PPH,-0.017743979721166037
7750,7750,7750,7750,0,PPH,0.0
7750,7750,7750,7750,0,PPH,0.0
7750,7750,7750,7750,10,PPH,0.0
7750,7750,7750,7750,420,PPH,0.0
7940,7940,7940,7940,200,PPH,0.02451612903225797
7940,7940,7940,7940,0,PPH,0.0
8100,8210,8100,8210,1500,PPH,0.03400503778337538
8210,8250,8210,8250,4900,PPH,0.004872107186357999
8290,8290,8290,8290,8010,PPH,0.00484848484848488
8290,8290,8290,8290,4000,PPH,0.0
7940,7940,7940,7940,5400,PPH,-0.04221954161640529
8250,8250,8250,8250,400,PPH,0.03904282115869018
8450,8450,8290,8450,31300,PPH,0.024242424242424176
8560,8810,8560,8810,1702,PPH,0.04260355029585794
8810,8810,8450,8450,6900,PPH,-0.04086265607264472
8450,8450,8290,8290,15100,PPH,-0.018934911242603603
8450,8510,8450,8510,11400,PPH,0.026537997587454676
8450,8870,8450,8870,900,PPH,0.04230317273795525
8710,8710,8710,8710,3600,PPH,-0.018038331454340528
8210,8710,8210,8710,19200,PPH,0.0
8210,8210,8210,8210,700,PPH,-0.057405281285878296
8210,8210,8210,8210,33,PPH,0.0
8210,8210,8150,8150,2500,PPH,-0.0073081607795371095
8660,8660,8660,8660,100,PPH,0.0625766871165645
8660,8660,8660,8660,0,PPH,0.0
8660,8660,8660,8660,42,PPH,0.0
8660,8660,8660,8660,9000,PPH,0.0
8660,8660,8660,8660,9900,PPH,0.0
8660,8710,8660,8710,1700,PPH,0.005773672055427337
8100,8100,8039,8039,7700,PPH,-0.07703788748564866
8039,8039,8039,8039,0,PPH,0.0
8100,8150,8100,8150,6000,PPH,0.01380768752332373
8150,8150,8150,8150,0,PPH,0.0
8150,8150,8150,8150,10,PPH,0.0
8210,8210,8100,8100,1332,PPH,-0.006134969325153339
9220,9220,9220,9220,100,PPH,0.1382716049382715
8000,8000,8000,8000,800,PPH,-0.13232104121475052
9110,9110,9110,9110,100,PPH,0.13874999999999993
